Patient_117,Patient_117
Otu0157,Veillonellaceae_unclassified
Otu0158,Streptococcus
Otu0159,Leptotrichia
Otu0160,Streptococcus
Otu0161,Veillonella
Otu0162,Pseudomonadaceae_unclassified
Otu0163,Lactobacillales_unclassified
Otu0164,Dialister
Otu0165,Bacteroides
Otu0166,Streptococcus
Otu0167,Prevotella
Otu0168,Treponema
Otu0169,Streptococcus
Otu0170,Escherichia/Shigella
Otu0171,Olsenella
Otu0172,Veillonella
Otu0173,Lactobacillus
Otu0174,Prevotellaceae_unclassified
Otu0175,Lachnospiraceae_unclassified
Otu0176,Actinomycetales_unclassified
Otu0177,Prevotella
Otu0178,Prevotella
Otu0179,Prevotella
Otu0180,Flavobacteriaceae_unclassified
Otu0181,Alistipes
Otu0182,Lactococcus
Otu0183,Treponema
Otu0184,Kingella
Otu0185,Lachnospiraceae_unclassified
Otu0186,Dialister
Otu0187,Sphingomonas
Otu0188,Bacteroidetes_unclassified
Otu0189,Veillonellaceae_unclassified
Otu0190,Cardiobacterium
Otu0191,Akkermansia
Otu0192,Neisseriaceae_unclassified
Otu0193,Pseudomonadaceae_unclassified
Otu0194,Prevotella
Otu0195,Campylobacter
Otu0196,Staphylococcaceae_unclassified
Otu0197,Prevotella
Otu0198,Flavobacteriaceae_unclassified
Otu0199,Achromobacter
Otu0200,Fusobacterium
Otu0201,Streptococcus
Otu0202,Bacteroidales_unclassified
Otu0203,Streptococcus
Otu0204,Prevotella
Otu0205,Bacteroidetes_unclassified
Otu0206,Clostridiales_unclassified
Otu0207,Bacillales_unclassified
Otu0208,Pseudomonas
Otu0209,Treponema
Otu0210,Firmicutes_unclassified
Otu0211,Staphylococcus
Otu0212,Veillonellaceae_unclassified
Otu0213,Leptotrichia
Otu0214,Actinomycetales_unclassified
Otu0215,Brevundimonas
Otu0216,Capnocytophaga
Otu0217,Prevotella
Otu0218,Candidatus_Saccharibacteria_unclassified
Otu0219,Prevotella
Otu0220,Prevotella
Otu0221,Leuconostoc
Otu0222,Candidatus_Saccharibacteria_unclassified
Otu0223,Rothia
Otu0224,Neisseria
Otu0225,Rothia
Otu0226,Staphylococcus
Otu0227,Streptococcus
Otu0228,Streptococcus
Otu0229,Streptococcus
Otu0230,Streptococcus
Otu0231,Bacillales_unclassified
Otu0232,Lactobacillus
Otu0233,Staphylococcus
Otu0234,Staphylococcus
Otu0235,Faecalibacterium
Otu0236,Bifidobacteriaceae_unclassified
Otu0237,Lachnospiraceae_unclassified
Otu0238,Actinomyces
Otu0239,Prevotella
Otu0240,Candidatus_Saccharibacteria_unclassified
Otu0241,Prevotella
Otu0242,Prevotella
Otu0243,Prevotella
Otu0244,Streptococcus
Otu0245,Mycobacterium
Otu0246,Ureaplasma
Otu0247,Filifactor
Otu0248,Streptococcus
Otu0249,Leptotrichia
Otu0250,Flavobacteriaceae_unclassified
Otu0251,Rothia
Otu0252,Capnocytophaga
Otu0253,Bacilli_unclassified
Otu0254,Bacteria_unclassified
Otu0255,Lactobacillus
Otu0256,Bacilli_unclassified
Otu0257,Fusobacterium
Otu0258,Lachnospiraceae_unclassified
Otu0259,Streptococcus
Otu0260,Capnocytophaga
Otu0261,Staphylococcus
Otu0262,Butyrivibrio
Otu0263,Streptococcus
Otu0264,Gardnerella
Otu0265,Prevotella
Otu0266,Veillonellaceae_unclassified
Otu0267,Prevotella
Otu0268,Prevotella
Otu0269,Lactobacillales_unclassified
Otu0270,Fusobacterium
Otu0271,Streptococcus
Otu0272,Streptococcus
Otu0273,Prevotella
Otu0274,Staphylococcus
Otu0275,Rothia
Otu0276,Cryptobacterium
Otu0277,Streptococcus
Otu0278,Methylobacterium
Otu0279,Lactobacillus
Otu0280,Bacteroides
Otu0281,Clostridiales_unclassified
Otu0282,Veillonella
Otu0283,Comamonadaceae_unclassified
Otu0284,Anaeroglobus
